2026-03-20T22:33:23.201418332Z 2026-03-20 22:33:23,201::INFO::[nzbparser:86] Attempting to add sz5gb_par2.nzb
2026-03-20T22:33:23.203464039Z 2026-03-20 22:33:23,203::INFO::[filesystem:725] Creating directories: /downloads/incomplete
2026-03-20T22:33:23.204354485Z 2026-03-20 22:33:23,204::INFO::[filesystem:725] Creating directories: /downloads/incomplete/sz5gb_par2
2026-03-20T22:33:23.204897340Z 2026-03-20 22:33:23,204::INFO::[filesystem:725] Creating directories: /downloads/incomplete/sz5gb_par2/__ADMIN__
2026-03-20T22:33:23.205438040Z 2026-03-20 22:33:23,205::INFO::[filesystem:1169] Saving /downloads/incomplete/sz5gb_par2/__ADMIN__/sz5gb_par2.nzb.gz
2026-03-20T22:33:23.239053650Z 2026-03-20 22:33:23,238::INFO::[nzbstuff:978] File bench_5gb.bin added to queue
2026-03-20T22:33:23.240470062Z 2026-03-20 22:33:23,240::INFO::[nzbstuff:978] File bench_5gb.bin.par2 added to queue
2026-03-20T22:33:23.240860075Z 2026-03-20 22:33:23,240::INFO::[nzbstuff:978] File bench_5gb.bin.vol000+16.par2 added to queue
2026-03-20T22:33:23.241793030Z 2026-03-20 22:33:23,241::INFO::[nzbstuff:978] File bench_5gb.bin.vol016+32.par2 added to queue
2026-03-20T22:33:23.242844153Z 2026-03-20 22:33:23,242::INFO::[nzbstuff:978] File bench_5gb.bin.vol048+64.par2 added to queue
2026-03-20T22:33:23.243903398Z 2026-03-20 22:33:23,243::INFO::[nzbstuff:978] File bench_5gb.bin.vol112+88.par2 added to queue
2026-03-20T22:33:23.244427097Z 2026-03-20 22:33:23,244::INFO::[nzbqueue:230] Saving queue
2026-03-20T22:33:23.245148243Z 2026-03-20 22:33:23,244::INFO::[notifier:166] Sending notification: NZB added to queue - sz5gb_par2.nzb (type=download, job_cat=*)
2026-03-20T22:33:23.247566102Z 2026-03-20 22:33:23,247::INFO::[filesystem:725] Creating directories: /downloads/complete
2026-03-20T22:33:23.347879893Z 2026-03-20 22:33:23,347::INFO::[downloader:616] 17@mock-nntp: Initiating connection
2026-03-20T22:33:23.348396971Z 2026-03-20 22:33:23,348::INFO::[downloader:616] 11@mock-nntp: Initiating connection
2026-03-20T22:33:23.348964169Z 2026-03-20 22:33:23,348::INFO::[downloader:616] 5@mock-nntp: Initiating connection
2026-03-20T22:33:23.349704297Z 2026-03-20 22:33:23,349::INFO::[downloader:616] 18@mock-nntp: Initiating connection
2026-03-20T22:33:23.350123721Z 2026-03-20 22:33:23,349::INFO::[downloader:616] 12@mock-nntp: Initiating connection
2026-03-20T22:33:23.350622380Z 2026-03-20 22:33:23,350::INFO::[downloader:616] 6@mock-nntp: Initiating connection
2026-03-20T22:33:23.359642781Z 2026-03-20 22:33:23,359::INFO::[downloader:616] 19@mock-nntp: Initiating connection
2026-03-20T22:33:23.360077160Z 2026-03-20 22:33:23,359::INFO::[downloader:616] 13@mock-nntp: Initiating connection
2026-03-20T22:33:23.363975186Z 2026-03-20 22:33:23,361::INFO::[downloader:616] 7@mock-nntp: Initiating connection
2026-03-20T22:33:23.365834661Z 2026-03-20 22:33:23,364::INFO::[downloader:616] 20@mock-nntp: Initiating connection
2026-03-20T22:33:23.365841835Z 2026-03-20 22:33:23,365::INFO::[downloader:616] 1@mock-nntp: Initiating connection
2026-03-20T22:33:23.366160030Z 2026-03-20 22:33:23,365::INFO::[downloader:616] 14@mock-nntp: Initiating connection
2026-03-20T22:33:23.367137869Z 2026-03-20 22:33:23,366::INFO::[downloader:616] 8@mock-nntp: Initiating connection
2026-03-20T22:33:23.367145345Z 2026-03-20 22:33:23,366::INFO::[downloader:616] 2@mock-nntp: Initiating connection
2026-03-20T22:33:23.367689235Z 2026-03-20 22:33:23,367::INFO::[downloader:616] 15@mock-nntp: Initiating connection
2026-03-20T22:33:23.368213066Z 2026-03-20 22:33:23,367::INFO::[downloader:616] 9@mock-nntp: Initiating connection
2026-03-20T22:33:23.368735964Z 2026-03-20 22:33:23,368::INFO::[downloader:616] 3@mock-nntp: Initiating connection
2026-03-20T22:33:23.369612985Z 2026-03-20 22:33:23,369::INFO::[downloader:616] 16@mock-nntp: Initiating connection
2026-03-20T22:33:23.372536818Z 2026-03-20 22:33:23,370::INFO::[downloader:616] 10@mock-nntp: Initiating connection
2026-03-20T22:33:23.373193999Z 2026-03-20 22:33:23,372::INFO::[downloader:616] 4@mock-nntp: Initiating connection
2026-03-20T22:33:23.381220136Z 2026-03-20 22:33:23,380::INFO::[downloader:751] Connecting 17@mock-nntp finished
2026-03-20T22:33:23.381432046Z 2026-03-20 22:33:23,381::INFO::[downloader:751] Connecting 5@mock-nntp finished
2026-03-20T22:33:23.381633363Z 2026-03-20 22:33:23,381::INFO::[downloader:751] Connecting 11@mock-nntp finished
2026-03-20T22:33:23.381814500Z 2026-03-20 22:33:23,381::INFO::[downloader:751] Connecting 18@mock-nntp finished
2026-03-20T22:33:23.382053474Z 2026-03-20 22:33:23,381::INFO::[downloader:751] Connecting 12@mock-nntp finished
2026-03-20T22:33:23.382190621Z 2026-03-20 22:33:23,382::INFO::[downloader:751] Connecting 6@mock-nntp finished
2026-03-20T22:33:23.382333150Z 2026-03-20 22:33:23,382::INFO::[downloader:751] Connecting 19@mock-nntp finished
2026-03-20T22:33:23.382515113Z 2026-03-20 22:33:23,382::INFO::[downloader:751] Connecting 13@mock-nntp finished
2026-03-20T22:33:23.382685648Z 2026-03-20 22:33:23,382::INFO::[downloader:751] Connecting 7@mock-nntp finished
2026-03-20T22:33:23.382893880Z 2026-03-20 22:33:23,382::INFO::[downloader:751] Connecting 20@mock-nntp finished
2026-03-20T22:33:23.383057241Z 2026-03-20 22:33:23,382::INFO::[downloader:751] Connecting 1@mock-nntp finished
2026-03-20T22:33:23.383255215Z 2026-03-20 22:33:23,383::INFO::[downloader:751] Connecting 14@mock-nntp finished
2026-03-20T22:33:23.383460031Z 2026-03-20 22:33:23,383::INFO::[downloader:751] Connecting 8@mock-nntp finished
2026-03-20T22:33:23.383612830Z 2026-03-20 22:33:23,383::INFO::[downloader:751] Connecting 2@mock-nntp finished
2026-03-20T22:33:23.383790886Z 2026-03-20 22:33:23,383::INFO::[downloader:751] Connecting 15@mock-nntp finished
2026-03-20T22:33:23.384369893Z 2026-03-20 22:33:23,383::INFO::[downloader:751] Connecting 9@mock-nntp finished
2026-03-20T22:33:23.384376857Z 2026-03-20 22:33:23,383::INFO::[downloader:751] Connecting 3@mock-nntp finished
2026-03-20T22:33:23.384379923Z 2026-03-20 22:33:23,384::INFO::[downloader:751] Connecting 16@mock-nntp finished
2026-03-20T22:33:23.384382438Z 2026-03-20 22:33:23,384::INFO::[downloader:751] Connecting 4@mock-nntp finished
2026-03-20T22:33:23.384384753Z 2026-03-20 22:33:23,384::INFO::[downloader:751] Connecting 10@mock-nntp finished
2026-03-20T22:33:23.404036906Z 2026-03-20 22:33:23,400::INFO::[assembler:88] Decoding finished /downloads/incomplete/sz5gb_par2/bench_5gb.bin.par2
2026-03-20T22:33:23.435071251Z 2026-03-20 22:33:23,434::INFO::[nzbstuff:1790] Checking all filenames for sz5gb_par2
2026-03-20T22:33:23.435090490Z 2026-03-20 22:33:23,434::INFO::[nzbstuff:1793] Re-sorting sz5gb_par2 after getting filename information
2026-03-20T22:33:23.438378121Z 2026-03-20 22:33:23,438::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00011@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:23.438474820Z 2026-03-20 22:33:23,438::INFO::[nzbstuff:1508] Prospectively added 16 repair blocks to sz5gb_par2
2026-03-20T22:33:23.476522564Z 2026-03-20 22:33:23,476::INFO::[nzbstuff:1790] Checking all filenames for sz5gb_par2
2026-03-20T22:33:23.476547344Z 2026-03-20 22:33:23,476::INFO::[nzbstuff:1793] Re-sorting sz5gb_par2 after getting filename information
2026-03-20T22:33:23.517949461Z 2026-03-20 22:33:23,517::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00031@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:23.518030551Z 2026-03-20 22:33:23,517::INFO::[nzbstuff:1508] Prospectively added 32 repair blocks to sz5gb_par2
2026-03-20T22:33:23.530016595Z 2026-03-20 22:33:23,529::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00051@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:23.530068169Z 2026-03-20 22:33:23,529::INFO::[nzbstuff:1508] Prospectively added 64 repair blocks to sz5gb_par2
2026-03-20T22:33:23.903950114Z 2026-03-20 22:33:23,903::INFO::[assembler:88] Decoding finished /downloads/incomplete/sz5gb_par2/bench_5gb.bin.vol048+64.par2
2026-03-20T22:33:24.051227743Z 2026-03-20 22:33:24,050::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00071@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.051299017Z 2026-03-20 22:33:24,051::INFO::[nzbstuff:1508] Prospectively added 88 repair blocks to sz5gb_par2
2026-03-20T22:33:24.075548801Z 2026-03-20 22:33:24,075::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00091@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.094076529Z 2026-03-20 22:33:24,093::INFO::[assembler:88] Decoding finished /downloads/incomplete/sz5gb_par2/bench_5gb.bin.vol016+32.par2
2026-03-20T22:33:24.524339002Z 2026-03-20 22:33:24,523::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00111@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.543740652Z 2026-03-20 22:33:24,543::INFO::[assembler:88] Decoding finished /downloads/incomplete/sz5gb_par2/bench_5gb.bin.vol112+88.par2
2026-03-20T22:33:24.631347972Z 2026-03-20 22:33:24,630::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00131@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.642004711Z 2026-03-20 22:33:24,641::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00151@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.660035221Z 2026-03-20 22:33:24,659::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00171@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.692246468Z 2026-03-20 22:33:24,691::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00191@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.716146055Z 2026-03-20 22:33:24,712::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00211@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.730769122Z 2026-03-20 22:33:24,730::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00231@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.748053693Z 2026-03-20 22:33:24,747::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00251@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.761449134Z 2026-03-20 22:33:24,761::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00271@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.783083270Z 2026-03-20 22:33:24,782::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00291@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.803094635Z 2026-03-20 22:33:24,802::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00311@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.821590232Z 2026-03-20 22:33:24,821::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00331@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.836885140Z 2026-03-20 22:33:24,836::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00351@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.865188150Z 2026-03-20 22:33:24,864::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00371@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.894454591Z 2026-03-20 22:33:24,894::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00391@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.914807387Z 2026-03-20 22:33:24,914::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00411@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.928802729Z 2026-03-20 22:33:24,928::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00431@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.962979654Z 2026-03-20 22:33:24,962::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00451@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:24.984070697Z 2026-03-20 22:33:24,983::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00471@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.008934150Z 2026-03-20 22:33:25,008::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00491@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.032564290Z 2026-03-20 22:33:25,032::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00511@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.052351006Z 2026-03-20 22:33:25,052::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00531@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.069016158Z 2026-03-20 22:33:25,068::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00551@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.084024610Z 2026-03-20 22:33:25,083::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00571@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.098621059Z 2026-03-20 22:33:25,098::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00591@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.129846325Z 2026-03-20 22:33:25,129::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00611@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.146159920Z 2026-03-20 22:33:25,145::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00631@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.160705816Z 2026-03-20 22:33:25,160::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00651@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.175309649Z 2026-03-20 22:33:25,174::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00671@benchnzb unavailable on all servers, discarding
2026-03-20T22:33:25.195686559Z 2026-03-20 22:33:25,195::INFO::[nzbstuff:268] Article d-5gb-par2-f000-p00691@benchnzb unavailable on all servers, discarding
