2026-03-20T23:07:53.846441091Z 2026-03-20 23:07:53,845::INFO::[nzbparser:86] Attempting to add sz10gb_par2.nzb
2026-03-20T23:07:53.850431211Z 2026-03-20 23:07:53,850::INFO::[filesystem:725] Creating directories: /downloads/incomplete
2026-03-20T23:07:53.851037504Z 2026-03-20 23:07:53,850::INFO::[filesystem:725] Creating directories: /downloads/incomplete/sz10gb_par2
2026-03-20T23:07:53.851555001Z 2026-03-20 23:07:53,851::INFO::[filesystem:725] Creating directories: /downloads/incomplete/sz10gb_par2/__ADMIN__
2026-03-20T23:07:53.852053776Z 2026-03-20 23:07:53,851::INFO::[filesystem:1169] Saving /downloads/incomplete/sz10gb_par2/__ADMIN__/sz10gb_par2.nzb.gz
2026-03-20T23:07:53.902599125Z 2026-03-20 23:07:53,902::INFO::[nzbstuff:978] File bench_10gb.bin added to queue
2026-03-20T23:07:53.906452478Z 2026-03-20 23:07:53,905::INFO::[nzbstuff:978] File bench_10gb.bin.par2 added to queue
2026-03-20T23:07:53.909266819Z 2026-03-20 23:07:53,908::INFO::[nzbstuff:978] File bench_10gb.bin.vol000+064.par2 added to queue
2026-03-20T23:07:53.914894515Z 2026-03-20 23:07:53,914::INFO::[nzbstuff:978] File bench_10gb.bin.vol064+128.par2 added to queue
2026-03-20T23:07:53.923565505Z 2026-03-20 23:07:53,923::INFO::[nzbstuff:978] File bench_10gb.bin.vol192+256.par2 added to queue
2026-03-20T23:07:53.930017792Z 2026-03-20 23:07:53,928::INFO::[nzbstuff:978] File bench_10gb.bin.vol448+152.par2 added to queue
2026-03-20T23:07:53.931122313Z 2026-03-20 23:07:53,930::INFO::[nzbqueue:230] Saving queue
2026-03-20T23:07:53.933113366Z 2026-03-20 23:07:53,932::INFO::[notifier:166] Sending notification: NZB added to queue - sz10gb_par2.nzb (type=download, job_cat=*)
2026-03-20T23:07:53.937521525Z 2026-03-20 23:07:53,937::INFO::[filesystem:725] Creating directories: /downloads/complete
2026-03-20T23:07:54.035228437Z 2026-03-20 23:07:54,034::INFO::[get_addrinfo:199] Fastest connection to mock-nntp (port=119, IPv4 or IPv6): 172.24.0.2 (mock-nntp) in 0ms (out of 1 results)
2026-03-20T23:07:54.136664570Z 2026-03-20 23:07:54,136::INFO::[downloader:616] 17@mock-nntp: Initiating connection
2026-03-20T23:07:54.137203531Z 2026-03-20 23:07:54,136::INFO::[downloader:616] 11@mock-nntp: Initiating connection
2026-03-20T23:07:54.137670413Z 2026-03-20 23:07:54,137::INFO::[downloader:616] 5@mock-nntp: Initiating connection
2026-03-20T23:07:54.138087095Z 2026-03-20 23:07:54,137::INFO::[downloader:616] 18@mock-nntp: Initiating connection
2026-03-20T23:07:54.138444579Z 2026-03-20 23:07:54,138::INFO::[downloader:616] 12@mock-nntp: Initiating connection
2026-03-20T23:07:54.138814504Z 2026-03-20 23:07:54,138::INFO::[downloader:616] 6@mock-nntp: Initiating connection
2026-03-20T23:07:54.154340394Z 2026-03-20 23:07:54,153::INFO::[downloader:616] 19@mock-nntp: Initiating connection
2026-03-20T23:07:54.155147757Z 2026-03-20 23:07:54,154::INFO::[downloader:616] 13@mock-nntp: Initiating connection
2026-03-20T23:07:54.156490347Z 2026-03-20 23:07:54,156::INFO::[downloader:616] 7@mock-nntp: Initiating connection
2026-03-20T23:07:54.157150292Z 2026-03-20 23:07:54,156::INFO::[downloader:616] 20@mock-nntp: Initiating connection
2026-03-20T23:07:54.157617278Z 2026-03-20 23:07:54,157::INFO::[downloader:616] 1@mock-nntp: Initiating connection
2026-03-20T23:07:54.158041491Z 2026-03-20 23:07:54,157::INFO::[downloader:616] 14@mock-nntp: Initiating connection
2026-03-20T23:07:54.158478263Z 2026-03-20 23:07:54,158::INFO::[downloader:616] 8@mock-nntp: Initiating connection
2026-03-20T23:07:54.158826780Z 2026-03-20 23:07:54,158::INFO::[downloader:616] 2@mock-nntp: Initiating connection
2026-03-20T23:07:54.159338440Z 2026-03-20 23:07:54,159::INFO::[downloader:616] 15@mock-nntp: Initiating connection
2026-03-20T23:07:54.159739416Z 2026-03-20 23:07:54,159::INFO::[downloader:616] 9@mock-nntp: Initiating connection
2026-03-20T23:07:54.160115137Z 2026-03-20 23:07:54,159::INFO::[downloader:616] 3@mock-nntp: Initiating connection
2026-03-20T23:07:54.160544810Z 2026-03-20 23:07:54,160::INFO::[downloader:616] 16@mock-nntp: Initiating connection
2026-03-20T23:07:54.161058048Z 2026-03-20 23:07:54,160::INFO::[downloader:616] 10@mock-nntp: Initiating connection
2026-03-20T23:07:54.161493994Z 2026-03-20 23:07:54,161::INFO::[downloader:616] 4@mock-nntp: Initiating connection
2026-03-20T23:07:54.167823967Z 2026-03-20 23:07:54,167::INFO::[downloader:751] Connecting 17@mock-nntp finished
2026-03-20T23:07:54.168013674Z 2026-03-20 23:07:54,167::INFO::[downloader:751] Connecting 11@mock-nntp finished
2026-03-20T23:07:54.168195675Z 2026-03-20 23:07:54,167::INFO::[downloader:751] Connecting 5@mock-nntp finished
2026-03-20T23:07:54.168420261Z 2026-03-20 23:07:54,168::INFO::[downloader:751] Connecting 18@mock-nntp finished
2026-03-20T23:07:54.168631150Z 2026-03-20 23:07:54,168::INFO::[downloader:751] Connecting 12@mock-nntp finished
2026-03-20T23:07:54.168815255Z 2026-03-20 23:07:54,168::INFO::[downloader:751] Connecting 6@mock-nntp finished
2026-03-20T23:07:54.168994080Z 2026-03-20 23:07:54,168::INFO::[downloader:751] Connecting 19@mock-nntp finished
2026-03-20T23:07:54.169157244Z 2026-03-20 23:07:54,168::INFO::[downloader:751] Connecting 13@mock-nntp finished
2026-03-20T23:07:54.169354986Z 2026-03-20 23:07:54,169::INFO::[downloader:751] Connecting 7@mock-nntp finished
2026-03-20T23:07:54.169540169Z 2026-03-20 23:07:54,169::INFO::[downloader:751] Connecting 20@mock-nntp finished
2026-03-20T23:07:54.169680302Z 2026-03-20 23:07:54,169::INFO::[downloader:751] Connecting 1@mock-nntp finished
2026-03-20T23:07:54.169954772Z 2026-03-20 23:07:54,169::INFO::[downloader:751] Connecting 14@mock-nntp finished
2026-03-20T23:07:54.170192529Z 2026-03-20 23:07:54,169::INFO::[downloader:751] Connecting 8@mock-nntp finished
2026-03-20T23:07:54.170838366Z 2026-03-20 23:07:54,170::INFO::[downloader:751] Connecting 2@mock-nntp finished
2026-03-20T23:07:54.170844969Z 2026-03-20 23:07:54,170::INFO::[downloader:751] Connecting 15@mock-nntp finished
2026-03-20T23:07:54.170847784Z 2026-03-20 23:07:54,170::INFO::[downloader:751] Connecting 9@mock-nntp finished
2026-03-20T23:07:54.170850189Z 2026-03-20 23:07:54,170::INFO::[downloader:751] Connecting 3@mock-nntp finished
2026-03-20T23:07:54.170941886Z 2026-03-20 23:07:54,170::INFO::[downloader:751] Connecting 16@mock-nntp finished
2026-03-20T23:07:54.171177103Z 2026-03-20 23:07:54,170::INFO::[downloader:751] Connecting 10@mock-nntp finished
2026-03-20T23:07:54.171366289Z 2026-03-20 23:07:54,171::INFO::[downloader:751] Connecting 4@mock-nntp finished
2026-03-20T23:07:54.187627940Z 2026-03-20 23:07:54,183::INFO::[assembler:88] Decoding finished /downloads/incomplete/sz10gb_par2/bench_10gb.bin.par2
2026-03-20T23:07:54.265597216Z 2026-03-20 23:07:54,265::INFO::[nzbstuff:1790] Checking all filenames for sz10gb_par2
2026-03-20T23:07:54.265619751Z 2026-03-20 23:07:54,265::INFO::[nzbstuff:1793] Re-sorting sz10gb_par2 after getting filename information
2026-03-20T23:07:54.268045055Z 2026-03-20 23:07:54,267::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00011@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:54.268120489Z 2026-03-20 23:07:54,267::INFO::[nzbstuff:1508] Prospectively added 64 repair blocks to sz10gb_par2
2026-03-20T23:07:54.283568190Z 2026-03-20 23:07:54,283::INFO::[nzbstuff:1790] Checking all filenames for sz10gb_par2
2026-03-20T23:07:54.283589292Z 2026-03-20 23:07:54,283::INFO::[nzbstuff:1793] Re-sorting sz10gb_par2 after getting filename information
2026-03-20T23:07:54.329845603Z 2026-03-20 23:07:54,329::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00031@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:54.330347930Z 2026-03-20 23:07:54,330::INFO::[nzbstuff:1508] Prospectively added 128 repair blocks to sz10gb_par2
2026-03-20T23:07:55.185304838Z 2026-03-20 23:07:55,184::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00051@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:55.185325609Z 2026-03-20 23:07:55,185::INFO::[nzbstuff:1508] Prospectively added 152 repair blocks to sz10gb_par2
2026-03-20T23:07:55.203193032Z 2026-03-20 23:07:55,202::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00071@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:55.203217250Z 2026-03-20 23:07:55,203::INFO::[nzbstuff:1508] Prospectively added 256 repair blocks to sz10gb_par2
2026-03-20T23:07:55.211021661Z 2026-03-20 23:07:55,210::INFO::[assembler:88] Decoding finished /downloads/incomplete/sz10gb_par2/bench_10gb.bin.vol064+128.par2
2026-03-20T23:07:56.881575437Z 2026-03-20 23:07:56,881::INFO::[assembler:88] Decoding finished /downloads/incomplete/sz10gb_par2/bench_10gb.bin.vol192+256.par2
2026-03-20T23:07:57.918406419Z 2026-03-20 23:07:57,918::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00091@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:57.936822531Z 2026-03-20 23:07:57,936::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00111@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:57.956092152Z 2026-03-20 23:07:57,955::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00131@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:57.967682230Z 2026-03-20 23:07:57,967::INFO::[assembler:88] Decoding finished /downloads/incomplete/sz10gb_par2/bench_10gb.bin.vol448+152.par2
2026-03-20T23:07:58.164791046Z 2026-03-20 23:07:58,164::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00151@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.175664435Z 2026-03-20 23:07:58,175::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00171@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.187688401Z 2026-03-20 23:07:58,187::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00191@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.201277658Z 2026-03-20 23:07:58,200::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00211@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.213439155Z 2026-03-20 23:07:58,213::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00231@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.225251333Z 2026-03-20 23:07:58,224::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00251@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.239618069Z 2026-03-20 23:07:58,239::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00271@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.252970823Z 2026-03-20 23:07:58,252::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00291@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.273549503Z 2026-03-20 23:07:58,273::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00311@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.294031652Z 2026-03-20 23:07:58,293::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00331@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.322715180Z 2026-03-20 23:07:58,322::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00351@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.342266425Z 2026-03-20 23:07:58,341::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00371@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.356388225Z 2026-03-20 23:07:58,356::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00391@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.368778596Z 2026-03-20 23:07:58,368::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00411@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.382781630Z 2026-03-20 23:07:58,382::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00431@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.395306644Z 2026-03-20 23:07:58,394::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00451@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.408226457Z 2026-03-20 23:07:58,407::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00471@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.438548859Z 2026-03-20 23:07:58,438::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00491@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.448893134Z 2026-03-20 23:07:58,448::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00511@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.471207821Z 2026-03-20 23:07:58,470::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00531@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.503589642Z 2026-03-20 23:07:58,503::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00551@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.520514408Z 2026-03-20 23:07:58,520::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00571@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.537765891Z 2026-03-20 23:07:58,537::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00591@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.553283362Z 2026-03-20 23:07:58,552::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00611@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.567777206Z 2026-03-20 23:07:58,567::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00631@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.581422454Z 2026-03-20 23:07:58,580::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00651@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.603132566Z 2026-03-20 23:07:58,602::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00671@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.623321833Z 2026-03-20 23:07:58,623::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00691@benchnzb unavailable on all servers, discarding
2026-03-20T23:07:58.646542640Z 2026-03-20 23:07:58,646::INFO::[nzbstuff:268] Article d-10gb-par2-f000-p00711@benchnzb unavailable on all servers, discarding
